UF;Município;ID;num_processo;Vinculada;Termo/N_Convênio;Ano_Termo/Convênio;Programa;Fonte;Esfera;Tipologia;Situação_da_Obra;perc_informado_munic;Última_Vistoria_Instituição;perc_executado_empresa;Última_Vistoria_Empresa;Empresa;Restrições;Inconformidades
MA;Mirador;1008038;2,34E+16;NÃO;11233;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;62.57%;05/07/2016;9.48%;06/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MA;Mirador;1008039;2,34E+16;NÃO;11233;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;86.10%;05/07/2016;18.80%;06/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MT;Rondonópolis;1008041;2,34E+16;NÃO;8322;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Concluída;99.99%;22/07/2016;19.48%;27/jan;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
PB;Araruna;1008043;2,34E+16;NÃO;9724;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Concluída;96.68%;04/11/2015;72.23%;10/jul;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SC;Águas Mornas;1008045;2,34E+16;NÃO;8330;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Concluída;100.00%;05/11/2014;3.95%;03/set;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
PB;Barra de Santa Rosa;1008047;2,34E+16;NÃO;7789;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Paralisada;20.83%;30/06/2016;14.42%;09/jul;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;NÃO
MA;Olho d'Água das Cunhãs;1008049;2,34E+16;NÃO;10982;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;71.02%;23/08/2016;54.20%;01/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MA;Olho d'Água das Cunhãs;1008050;2,34E+16;NÃO;10982;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;45.29%;08/08/2016;41.56%;01/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MA;Olho d'Água das Cunhãs;1008051;2,34E+16;NÃO;10982;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;68.04%;26/08/2016;51.54%;16/set;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SC;Anita Garibaldi;1008053;2,34E+16;NÃO;8331;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR GRANDE - PROJETO FNDE;Execução;99.48%;08/08/2016;99.71%;28/jul;PAULO GAIGA ENGENHARIA LTDA;SIM;NÃO
PB;Bernardino Batista;1008054;2,34E+16;SIM;7790;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Concluída;100.00%;23/08/2016;9.11%;21/ago;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
ES;Guarapari;1008055;2,34E+16;NÃO;10942;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Paralisada;77.08%;20/06/2016;64.88%;25/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
