"ID";"Nome";"Logradouro";"Município";"UF";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
1014565;"MATRICULA 35.115";"JOSE CALAZANS";"Santa Tereza do Oeste";"PR";52,52;"atrasada";682606,925707786;"(04379027000198) TALLENTO CONSTRUTORA DE OBRAS LTDA"
1014580;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"Avenida Luiz Cerqueira";"São Felipe";"BA";10,21;"atrasada";196727,86721944;"(11539712000108) FABIANA SANTOS DE ALMEIDA"
1014594;"Escola Proinfância tipo B";"Rua Alto da Lagoa, s/ número";"Ribeirópolis";"SE";0;"atrasada";404460,765873501;"(13751101000146) KSN CONSTRUCOES LTDA - EPP"
1014606;"Construção de Escola de Educação Infantil Tipo 2 - Convencional";"Rua Altivo Nunes, Esquina Ottoni Tarragó Bastos";"Maçambara";"RS";37,78;"atrasada";412632,669318885;"(09609606000101) LARA & RATES LTDA"
1014608;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"RUA PROJETADA ESQ VASCO ANTONIO RAMOS ALVES";"São Jerônimo";"RS";1;"atrasada";NA;"(21524847000145) CONSTRUTORA ONIX TBK LTDA - ME"
1014609;"Creche Pandorga";"Rua Dr Manoel Cipriano D'Avila";"São Vicente do Sul";"RS";16,41;"atrasada";185905,744063521;"(23565700000129) GIRELI SANTOS E CIA LTDA - ME"
1014615;"CEI no bairro Cordeiros";"Rua Eurípedes Amorim Leal";"Itajaí";"SC";21,22;"atrasada";186976,511579922;"(20985955000152) RENAN SISMER MAURICIO - ME"
1014619;"Parque da Cidade";"Rua Natividade";"Santo Amaro da Imperatriz";"SC";22,72;"atrasada";374811,972680823;"(10738687000110) MUNDIAL SERVICOS LTDA - EPP"
1014631;"Creche Municipal do Bairro do Oratório";"Estrada Municipal do Oratório";"Socorro";"SP";0;"atrasada";194705,73;"(00445741000186) BERNARDI & SOUZA CONSTRUCAO E COMERCIO LTDA - EPP"
1014644;"Bairro Maravilha";"Rua Jorge Borges, S/N";"Quixeramobim";"CE";0;"atrasada";279673,592888909;"(09324222000134) BRAGA SERVIS - SERVICOS, COMERCIO E CONSTRUCOES LTDA"
1014652;"Creche Tipo C";"Av Professora Rosa Ewerton";"Cedral";"MA";24,11;"atrasada";256194,261260302;"(18128690000124) WR COMERCIO E CONSTRUCAO EIRELI - ME"
